,Pris,address,zipcode,m2,rooms,x,y,daycare_distance,train_distance,school_distance,supermarket_distance,hospital_distance,Region
179,1695000, Karensmindevej 1 st th ,4300 Holbæk,66,2,11.71740936,55.71263754,130.17,816.84,908.48,293.52,296.2,Hovedstaden
180,1695000, Kantorparken 22,8240 Risskov,68,2,10.20984479,56.19769066,541.74,6489.84,1064.15,616.2,2934.77,Midtjylland
181,1725000, Jyllandsgade 11,8800 Viborg,93,3,9.39674683,56.44914602,1168.32,726.69,494.98,231.17,1349.69,Midtjylland
182,1745000, Edelhoffvej 2A,8462 Harlev J,76,3,10.00172056,56.14197885,373.61,9957.21,688.7,462.18,14926.9,Midtjylland
183,1795000, Smøgen 1,6950 Ringkøbing,123,3,8.24273089,56.09028417,1898.53,1046.76,1811.9,115.06,829.94,Midtjylland
184,1895000, Østervej 25,2600 Glostrup,66,2,12.39122503,55.6678465,410.66,916.55,506.1,523.63,632.8,Hovedstaden
185,1980000, Skejbygårdsvej 56,8240 Risskov,64,2,10.19854287,56.19751767,395.19,6506.71,336.68,499.08,2282.72,Midtjylland
186,1995000, Schleppegrellsgade 78 2 tv ,9000 Aalborg,71,3,9.90252625,57.05513801,801.55,712.96,822.2,334.14,1260.09,Nordjylland
187,1995000, Frederiksdalsvej 105B,2830 Virum,52,2,12.46852987,55.79460266,417.71,2537.2,927.05,301.17,9400.33,Hovedstaden
188,1995000, Birkerød Parkvej 44,3460 Birkerød,75,3,12.41497851,55.83788541,233.83,10095.94,395.68,1279.05,14511.76,Hovedstaden
189,2095000, Gladsaxevej 69,2860 Søborg,55,2,12.51455727,55.72917461,270.69,4448.95,965.96,572.01,3003.4,Hovedstaden
